,hostname,planet_letter,ra,dec,parallax,parallax_error,distance,distance_error,dist_error_pct
123,HD 183263,b,292.10238600000002,8.3580539999999992,18.513459666698076,0.41932545896032153,54.014755642825385,1.2234213706312094,2.2649762200557371
124,HD 183263,c,292.10238600000002,8.3580539999999992,18.513459666698076,0.41932545896032153,54.014755642825385,1.2234213706312094,2.2649762200557371
125,HD 185269,b,294.29892000000001,28.499865,19.100130683771923,0.50715013223008698,52.355662720655189,1.3901570471627029,2.6552181271774113
126,HD 187085,b,297.39154100000002,-37.780552,21.773036332575455,0.46125082914637983,45.928366844447069,0.97296936287408808,2.1184497288340314
127,HD 18742,b,45.044407,-20.802603000000001,6.2244328903212311,0.37413992970196369,160.65720646694803,9.6568276970459426,6.0108275933657795
128,HD 190984,b,302.87799100000001,-64.620468000000002,6.8371522257913577,0.38756623727557871,146.25972436707832,8.290780893261573,5.6685331037911828
129,HD 192699,b,304.02502399999997,4.5807950000000002,14.376571086438842,0.46019584280414538,69.557615232973163,2.2265479837385644,3.201012536558455
130,HD 200964,b,316.66601600000001,3.8031190000000001,13.95264256590203,0.59623933808769047,71.671011084583796,3.0627227786641935,4.2733076209147765
131,HD 200964,c,316.66601600000001,3.8031190000000001,13.95264256590203,0.59623933808769047,71.671011084583796,3.0627227786641935,4.2733076209147765
132,HD 202206,b,318.74069200000002,-20.789209,21.937501987206087,0.39831984197701603,45.584041454820074,0.82767072566178346,1.8157028188957678
133,HD 202206,c,318.74069200000002,-20.789209,21.937501987206087,0.39831984197701603,45.584041454820074,0.82767072566178346,1.8157028188957678
134,HD 2039,b,6.0844909999999999,-56.650047000000001,11.504865814695822,0.37724468669610423,86.919744750316241,2.8500994626250962,3.2790011876038401
135,HD 205739,b,324.535034,-31.737483999999998,10.730334471660441,0.43413768659019525,93.193739919391092,3.7705175696198086,4.0458914653292783
136,HD 206610,b,325.85376000000002,-7.4082530000000002,6.4247454345978223,0.44618132329792065,155.648190294811,10.809348980690411,6.9447315514665338
137,HD 209458,b,330.79489100000001,18.884319000000001,20.465464317304658,0.37621603340445259,48.862805382551031,0.89824352563031207,1.8382970822037084
138,HD 212301,b,336.87884500000001,-77.717926000000006,18.696547066231727,0.43230648724744136,53.485811923321585,1.2367130352058502,2.312226347014847
139,HD 212771,b,336.762787,-17.263659000000001,8.9536025860866868,0.3787465577793192,111.68688696926694,4.724469684909935,4.230102398869775
140,HD 214823,b,340.08279399999998,31.787593999999999,10.592667487094078,0.4256096822421539,94.404926919341392,3.7931570114127382,4.0179650948234649
141,HD 215497,b,341.65313700000002,-56.599533000000001,24.636222775236575,0.37718073818546904,40.590637985509822,0.62144294352553064,1.5310006798793736
142,HD 215497,c,341.65313700000002,-56.599533000000001,24.636222775236575,0.37718073818546904,40.590637985509822,0.62144294352553064,1.5310006798793736
143,HD 216536,b,343.26659799999999,44.477753,2.7098820458674675,0.45910596256334141,369.01975180985681,62.51901945987337,16.941916835954967
144,HD 217107,b,344.56475799999998,-2.3953850000000001,49.988763620761056,0.43521875549556499,20.004495561972362,0.17416577310950535,0.87063316627981646
145,HD 217107,c,344.56475799999998,-2.3953850000000001,49.988763620761056,0.43521875549556499,20.004495561972362,0.17416577310950535,0.87063316627981646
146,HD 219415,b,348.72427800000003,56.730328,5.9695145070500493,0.395757196774077,167.51781050519119,11.105824270461003,6.629637909526549
